window,window_size,preprocessing,model,n_windows,f1_mean,f1_std,auc_mean,auc_std,time
6s,300,raw,DeepCNN,365,0.0,0.0,0.0,0.0,0.46961164474487305
6s,300,normalized,SimpleCNN,365,0.0,0.0,0.3333333333333333,0.0,0.3314244747161865
6s,300,normalized,DeepCNN,365,0.0,0.0,0.16666666666666666,0.0,0.5296523571014404
8s,400,raw,DeepCNN,251,0.0,0.0,0.5,0.0,0.4234449863433838
6s,300,normalized,LSTM,365,0.0,0.0,1.0,0.0,0.6174414157867432
6s,300,augmented,DeepCNN,365,0.0,0.0,0.0,0.0,0.4400191307067871
8s,400,filtered,SimpleCNN,251,0.0,0.0,0.0,0.0,0.3211486339569092
8s,400,normalized,SimpleCNN,251,0.0,0.0,1.0,0.0,0.3208179473876953
8s,400,normalized,DeepCNN,251,0.0,0.0,1.0,0.0,0.3452765941619873
8s,400,normalized,LSTM,251,0.0,0.0,1.0,0.0,0.5453207492828369
